secFrom	langTo	prob	isTranslation
References	المراجع	0.9988105297088623	False
References	وصلات خارجية	0.9985761642456055	False
References	مراجع	0.9979428648948669	False
References	المصادر	0.997883141040802	False
References	مصادر	0.9977276921272278	False
References	روابط خارجية	0.9946118593215942	False
References	اقرأ أيضا	0.9938837885856628	False
References	انظر أيضا	0.9915398955345154	False
References	انظر أيضًا	0.9903081059455872	False
References	روابط إضافية	0.9894132614135742	False
External links	وصلات خارجية	0.9988678693771362	False
External links	مراجع	0.9983469247817993	False
External links	المراجع	0.9976758360862732	False
External links	روابط خارجية	0.9971479773521423	True
External links	مصادر	0.9970136880874634	False
External links	الروابط الخارجية	0.9967299699783325	False
External links	المصادر	0.9964345693588257	False
External links	مصادر خارجية	0.9956722259521484	False
External links	المصادر والمراجع	0.9942763447761536	False
External links	مصادر ومراجع	0.9940484762191772	False
See also	انظر أيضًا	0.9967305660247803	False
See also	انظر أيضا	0.9959715008735657	False
See also	أنظر أيضا	0.9944465160369873	False
See also	انظر أيضاً	0.9942306280136108	False
See also	طالع أيضا	0.9919443130493164	False
See also	أنظر أيضاً	0.9913938641548157	False
See also	طالع أيضاً	0.990929901599884	False
See also	اقرأ أيضا	0.9904278516769409	False
See also	اقرأ أيضاً	0.9890590310096741	False
See also	انظر ايضا	0.9864590167999268	True
History	تاريخ	0.9961488246917725	False
History	التاريخ	0.996093213558197	True
History	معلومات تاريخية	0.9884305000305176	False
History	نبذة تاريخية	0.9747090339660645	False
History	لمحة تاريخية	0.9711450338363647	False
History	تاريخها	0.9680821299552917	False
History	تاريخه	0.9312762022018433	False
History	تاريخ المدينة	0.8910384178161621	False
History	تاريخ الشركة	0.8680082559585571	False
History	التأسيس	0.8290976881980896	False
Notes	ملاحظات	0.997160792350769	True
Notes	المراجع	0.9927566647529602	False
Notes	مراجع	0.9864301681518555	False
Notes	الملاحظات	0.9847792983055115	False
Notes	وصلات خارجية	0.9670494794845581	False
Notes	المصادر	0.9607334136962891	False
Notes	مصادر	0.948855996131897	False
Notes	مصادر ومراجع	0.9436506628990173	False
Notes	انظر أيضا	0.9086537957191467	False
Notes	هوامش	0.8885188698768616	False
Career	حياته المهنية	0.9917349815368652	False
Career	الحياة المهنية	0.9855881929397583	False
Career	مسيرته	0.9851855635643005	False
Career	حياتها المهنية	0.9821127653121948	False
Career	المسيرة الاحترافية	0.9777784943580627	False
Career	المسيرة المهنية	0.976807713508606	False
Career	الأعمال	0.9711751341819763	False
Career	حياته	0.9663210511207581	False
Career	النهائيات	0.9661394357681274	False
Career	السيرة المهنية	0.9595309495925903	False
Further reading	مراجع	0.9961740374565125	False
Further reading	كتابات أخرى	0.9934536218643188	False
Further reading	مزيد من القراءة	0.9922139048576355	False
Further reading	وصلات خارجية	0.9879748821258545	False
Further reading	المراجع	0.9803507924079895	False
Further reading	مصادر	0.978952169418335	False
Further reading	المصادر	0.9769536852836609	False
Further reading	لمزيد من القراءة	0.9753168821334839	True
Further reading	قراءات إضافية	0.9709343910217285	False
Further reading	قراءات أخرى	0.9627009034156799	False
Track listing	الأغاني	0.994527280330658	False
Track listing	قائمة الأغاني	0.9811558723449707	True
Track listing	قائمة أغاني الألبوم	0.9810985922813416	False
Track listing	أغاني الألبوم	0.9680191278457642	False
Track listing	قائمة أغاني الأغنية المنفردة	0.9392393827438354	False
Track listing	الصيغ وقائمة الأغاني	0.8758974075317383	False
Track listing	طاقم العمل	0.4856143891811371	False
Track listing	قائمة تقديرات الألبوم	0.3772915005683899	False
Track listing	الأغاني المنفردة	0.3672366738319397	False
Track listing	قائمة الأغاني الألبوم	0.36280131340026855	False
Personal life	الحياة الشخصية	0.9982703924179077	False
Personal life	حياته الشخصية	0.9979202151298523	False
Personal life	حياتها الشخصية	0.9967098236083984	False
Personal life	حياته الخاصة	0.9889167547225952	False
Personal life	أسرته	0.9889121055603027	False
Personal life	عائلته	0.9835231900215149	False
Personal life	الحياة الخاصة	0.9647151231765747	False
Personal life	حياته الأسرية	0.9632453322410583	False
Personal life	حياتها الخاصة	0.9604759812355042	False
Personal life	حياتها	0.9447866678237915	False
Early life	حياته المبكرة	0.9982962012290955	False
Early life	النشأة	0.9978154897689819	False
Early life	الحياة المبكرة	0.9973006844520569	False
Early life	نشأته	0.996297299861908	False
Early life	حياته	0.9955254197120667	False
Early life	نشأتها	0.9952853322029114	False
Early life	حياتها المبكرة	0.9945716261863708	False
Early life	حياتها	0.9906638860702515	False
Early life	بداية حياته	0.9887552857398987	False
Early life	عن حياته	0.9742141366004944	False
Cast	طاقم الممثلين	0.9968469738960266	False
Cast	طاقم التمثيل	0.9967856407165527	False
Cast	الممثلون	0.9959773421287537	False
Cast	الممثلون والشخصيات	0.9929214119911194	False
Cast	الممثلين والشخصيات	0.9921060800552368	False
Cast	الممثلين	0.9918842315673828	False
Cast	قصة الفيلم	0.9862420558929443	False
Cast	طاقم العمل	0.9842392206192017	False
Cast	الشخصيات	0.9784625768661499	True
Cast	قصة المسلسل	0.9745859503746033	False
Bibliography	وصلات خارجية	0.995550274848938	False
Bibliography	مراجع	0.9943746328353882	False
Bibliography	قائمة المصادر	0.9785277247428894	False
Bibliography	كتابات أخرى	0.9758985042572021	False
Bibliography	المراجع	0.9737005233764648	False
Bibliography	ملاحظات	0.9735249876976013	False
Bibliography	مصادر	0.9627804756164551	False
Bibliography	قائمة المراجع	0.9543219208717346	True
Bibliography	المصادر	0.9531880617141724	False
Bibliography	مراجع وهوامش	0.9288637042045593	False
Geography	الجغرافيا	0.9984830021858215	True
Geography	جغرافيا	0.9980132579803467	False
Geography	الجغرافية	0.9863724112510681	False
Geography	جغرافية	0.968982458114624	False
Geography	جغرافيتها	0.950355589389801	False
Geography	الموقع والسكان	0.938585638999939	False
Geography	الموقع	0.9194685816764832	False
Geography	التاريخ	0.898156464099884	False
Geography	معلومات جغرافية	0.8853350281715393	False
Geography	التركيبة السكانية	0.861059844493866	False
Sources	المصادر	0.998874843120575	True
Sources	المراجع	0.9988598823547363	False
Sources	وصلات خارجية	0.9987081289291382	False
Sources	مراجع	0.9982833862304688	False
Sources	مصادر	0.9981405735015869	False
Sources	روابط خارجية	0.9941549897193909	False
Sources	كتابات أخرى	0.9921729564666748	False
Sources	المصدر	0.9872254729270935	False
Sources	ملاحظات	0.9823797941207886	False
Sources	مصادر ومراجع	0.9803050756454468	False
Plot	الحبكة	0.9966285824775696	False
Plot	القصة	0.9954381585121155	True
Plot	قصة الفيلم	0.9936562180519104	False
Plot	ملخص القصة	0.9894860982894897	False
Plot	قصة المسلسل	0.9840679168701172	False
Plot	قصة	0.9792491793632507	False
Plot	قصة اللعبة	0.9610174298286438	False
Plot	ملخص الفيلم	0.9553847908973694	False
Plot	أحداث الفيلم	0.940735936164856	False
Plot	الممثلين والشخصيات	0.9401165246963501	False
Background	خلفية	0.9977062940597534	False
Background	خلفية تاريخية	0.9970940351486206	False
Background	الخلفية	0.9962161183357239	True
Background	الخلفية التاريخية	0.9943244457244873	False
Background	مقدمة	0.887704074382782	False
Background	النشأة	0.8693480491638184	False
Background	البداية	0.8631113171577454	False
Background	نشأته	0.8550816774368286	False
Background	التاريخ	0.8475088477134705	False
Background	خلفية الأحداث	0.8269230127334595	False
Reception	الاستقبال	0.9887968301773071	True
Reception	الإستقبال	0.9871963262557983	False
Reception	الاستقبال النقدي	0.9871219992637634	False
Reception	الجوائز والترشيحات	0.9736272692680359	False
Reception	استقبال	0.9346147179603577	False
Reception	ردود الفعل	0.9006045460700989	False
Reception	التقييم	0.8842675685882568	False
Reception	الإصدار	0.8139086365699768	False
Reception	الجوائز	0.7326379418373108	False
Reception	الشخصيات	0.695440948009491	False
Description	الوصف	0.998753547668457	True
Description	وصف	0.9978430271148682	False
Description	التصنيف	0.9703815579414368	False
Description	وصفه	0.957821786403656	False
Description	الوصف النباتي	0.8507149815559387	False
Description	وصف عام	0.6936336159706116	False
Description	الموقع	0.6772717833518982	False
Description	التعريف	0.6428470015525818	False
Description	أجناس	0.6277193427085876	False
Description	الوصف العام	0.5723435878753662	False
Personnel	طاقم العمل	0.994192898273468	False
Personnel	طاقم العاملين	0.8447336554527283	False
Personnel	قائمة الأغاني	0.817530632019043	False
Personnel	الموظفون	0.4629976451396942	True
Personnel	أعضاء الفرقة	0.4016217589378357	False
Personnel	الأفراد	0.32826289534568787	True
Personnel	أفراد العمل	0.3229884207248688	False
Personnel	مناورات تدريبية	0.26551553606987	False
Personnel	الرؤساء	0.2574291229248047	False
Personnel	ألبومات	0.24209150671958923	False
Demographics	السكان	0.9896629452705383	False
Demographics	الديموغرافيا	0.9694001078605652	False
Demographics	التركيبة السكانية	0.9580022692680359	False
Demographics	ديموغرافيا	0.9119965434074402	False
Demographics	أهم المدن	0.7482276558876038	False
